player_id,player_name,team_id,team_name,age_hit,gamesPlayed_hit,groundOuts_hit,airOuts_hit,runs_hit,doubles_hit,triples_hit,homeRuns_hit,strikeOuts_hit,baseOnBalls_hit,intentionalWalks_hit,hits_hit,hitByPitch_hit,avg_hit,atBats_hit,obp_hit,slg_hit,ops_hit,caughtStealing_hit,stolenBases_hit,stolenBasePercentage_hit,caughtStealingPercentage_hit,groundIntoDoublePlay_hit,numberOfPitches_hit,plateAppearances,totalBases_hit,rbi,leftOnBase,sacBunts_hit,sacFlies_hit,babip,groundOutsToAirouts_hit,catchersInterference_hit,atBatsPerHomeRun,age_pitch,gamesPlayed_pitch,gamesStarted,groundOuts_pitch,airOuts_pitch,runs_pitch,doubles_pitch,triples_pitch,homeRuns_pitch,strikeOuts_pitch,baseOnBalls_pitch,intentionalWalks_pitch,hits_pitch,hitByPitch_pitch,avg_pitch,atBats_pitch,obp_pitch,slg_pitch,ops_pitch,caughtStealing_pitch,stolenBases_pitch,stolenBasePercentage_pitch,caughtStealingPercentage_pitch,groundIntoDoublePlay_pitch,numberOfPitches_pitch,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases_pitch,groundOutsToAirouts_pitch,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference_pitch,sacBunts_pitch,sacFlies_pitch
682988,Tyler Locklear,109,Arizona Diamondbacks,24.0,31.0,25.0,17.0,11.0,0.0,0.0,3.0,43.0,10.0,0.0,18.0,3.0,.175,103.0,.267,.262,.529,1.0,3.0,.750,.250,3.0,477.0,116.0,27.0,6.0,60.0,0.0,0.0,.263,1.47,0.0,34.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682997,Tyler Callihan,113,Cincinnati Reds,25.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,.167,6.0,.167,.167,.334,0.0,0.0,.---,.---,0.0,22.0,6.0,1.0,1.0,2.0,0.0,0.0,.200,3.00,0.0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682998,Corbin Carroll,109,Arizona Diamondbacks,24.0,143.0,111.0,158.0,107.0,32.0,17.0,31.0,153.0,67.0,4.0,146.0,7.0,.259,564.0,.343,.541,.884,6.0,32.0,.842,.158,6.0,2497.0,642.0,305.0,84.0,205.0,0.0,4.0,.299,0.70,0.0,18.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683002,Gunnar Henderson,110,Baltimore Orioles,24.0,154.0,161.0,126.0,85.0,34.0,5.0,17.0,137.0,62.0,6.0,158.0,7.0,.274,577.0,.349,.438,.787,5.0,30.0,.857,.143,7.0,2506.0,651.0,253.0,68.0,195.0,0.0,5.0,.329,1.28,0.0,33.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683004,Jack Leiter,140,Texas Rangers,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,.000,1.0,.000,.000,.000,0.0,0.0,.---,.---,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,.---,-.--,0.0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683011,Anthony Volpe,147,New York Yankees,24.0,153.0,135.0,150.0,65.0,32.0,4.0,19.0,150.0,43.0,0.0,114.0,4.0,.212,539.0,.272,.391,.663,8.0,18.0,.692,.308,10.0,2397.0,596.0,211.0,72.0,275.0,3.0,7.0,.252,0.90,0.0,28.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683021,Michael Stefanic,141,Toronto Blue Jays,29.0,9.0,7.0,8.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,.182,22.0,.280,.182,.462,0.0,0.0,.---,.---,0.0,98.0,25.0,4.0,0.0,13.0,0.0,0.0,.211,0.88,0.0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683083,Nasim Nuñez,120,Washington Nationals,24.0,39.0,26.0,19.0,13.0,2.0,0.0,4.0,20.0,8.0,0.0,19.0,0.0,.232,82.0,.297,.402,.699,1.0,9.0,.900,.100,1.0,417.0,92.0,33.0,13.0,35.0,1.0,1.0,.254,1.37,0.0,20.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683090,Matthew Lugo,108,Los Angeles Angels,24.0,31.0,18.0,11.0,9.0,2.0,1.0,4.0,24.0,0.0,0.0,16.0,1.0,.232,69.0,.243,.464,.707,0.0,0.0,.---,.---,3.0,242.0,70.0,32.0,9.0,32.0,0.0,0.0,.293,1.64,0.0,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683146,Brett Baty,121,New York Mets,25.0,130.0,117.0,71.0,53.0,13.0,2.0,18.0,108.0,33.0,0.0,100.0,2.0,.254,393.0,.313,.435,.748,0.0,8.0,1.000,.000,6.0,1753.0,432.0,171.0,50.0,161.0,0.0,3.0,.304,1.65,1.0,21.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
